Ciudad,Fecha,Temperatura
Barrancabermeja,01/01/2020,29.9
Barrancabermeja,08/01/2020,37.4
Barrancabermeja,15/01/2020,34.5
Barrancabermeja,22/01/2020,32.8
Barrancabermeja,01/02/2020,27.0
Barrancabermeja,08/02/2020,27.0
Barrancabermeja,15/02/2020,25.8
Barrancabermeja,22/02/2020,36.3
Barrancabermeja,01/03/2020,32.8
Barrancabermeja,08/03/2020,34.2
Barrancabermeja,15/03/2020,25.3
Barrancabermeja,22/03/2020,37.6
Barrancabermeja,01/04/2020,35.8
Barrancabermeja,08/04/2020,27.8
Barrancabermeja,15/04/2020,27.4
Barrancabermeja,22/04/2020,27.4
Barrancabermeja,01/05/2020,29.0
Barrancabermeja,08/05/2020,31.8
Barrancabermeja,15/05/2020,30.6
Barrancabermeja,22/05/2020,28.8
Barrancabermeja,01/06/2020,33.0
Barrancabermeja,08/06/2020,26.8
Barrancabermeja,15/06/2020,28.8
Barrancabermeja,22/06/2020,29.8
Barrancabermeja,01/07/2020,30.9
Barrancabermeja,08/07/2020,35.2
Barrancabermeja,15/07/2020,27.6
Barrancabermeja,22/07/2020,31.7
Barrancabermeja,01/08/2020,32.7
Barrancabermeja,08/08/2020,25.6
Barrancabermeja,15/08/2020,32.9
Barrancabermeja,22/08/2020,27.2
Barrancabermeja,01/09/2020,25.8
Barrancabermeja,08/09/2020,37.3
Barrancabermeja,15/09/2020,37.6
Barrancabermeja,22/09/2020,35.5
Barrancabermeja,01/10/2020,29.0
Barrancabermeja,08/10/2020,26.3
Barrancabermeja,15/10/2020,33.9
Barrancabermeja,22/10/2020,30.7
Barrancabermeja,01/11/2020,26.6
Barrancabermeja,08/11/2020,31.4
Barrancabermeja,15/11/2020,25.4
Barrancabermeja,22/11/2020,36.8
Barrancabermeja,01/12/2020,28.4
Barrancabermeja,08/12/2020,33.6
Barrancabermeja,15/12/2020,29.1
Barrancabermeja,22/12/2020,31.8
Barrancabermeja,01/01/2021,32.1
Barrancabermeja,08/01/2021,27.4
Barrancabermeja,15/01/2021,37.6
Barrancabermeja,22/01/2021,35.1
